common_name,species,unit_name,park,es,season,climate_trend
Brown Thrasher,BRTH,Hot Springs National Park,HOSP,85,Summer,E
Black-tailed Gnatcatcher,BTGN,Hot Springs National Park,HOSP,85,Summer,C
Blue-winged Warbler,BWWA,Hot Springs National Park,HOSP,26,Summer,S
Blue-winged Warbler,BWWA,Hot Springs National Park,HOSP,85,Summer,S
Carolina Chickadee,CACH,Hot Springs National Park,HOSP,26,Summer,I
Carolina Chickadee,CACH,Hot Springs National Park,HOSP,85,Summer,S
Cattle Egret,CAEG,Hot Springs National Park,HOSP,26,Summer,I
Cattle Egret,CAEG,Hot Springs National Park,HOSP,85,Summer,I
Carolina Wren,CARW,Hot Springs National Park,HOSP,26,Summer,S
Carolina Wren,CARW,Hot Springs National Park,HOSP,85,Summer,S
Cave Swallow,CASW,Hot Springs National Park,HOSP,85,Summer,C
Curve-billed Thrasher,CBTH,Hot Springs National Park,HOSP,85,Summer,C
Chihuahuan Raven,CHRA,Hot Springs National Park,HOSP,85,Summer,C
Chipping Sparrow,CHSP,Hot Springs National Park,HOSP,26,Summer,E
Chipping Sparrow,CHSP,Hot Springs National Park,HOSP,85,Summer,E
Chimney Swift,CHSW,Hot Springs National Park,HOSP,26,Summer,W
Chimney Swift,CHSW,Hot Springs National Park,HOSP,85,Summer,W
Common Ground-Dove,COGD,Hot Springs National Park,HOSP,26,Summer,C
Common Ground-Dove,COGD,Hot Springs National Park,HOSP,85,Summer,C
Common Grackle,COGR,Hot Springs National Park,HOSP,26,Summer,E
Common Grackle,COGR,Hot Springs National Park,HOSP,85,Summer,E
Couch's Kingbird,COKI,Hot Springs National Park,HOSP,85,Summer,C
Common Nighthawk,CONI,Hot Springs National Park,HOSP,26,Summer,I
Common Nighthawk,CONI,Hot Springs National Park,HOSP,85,Summer,I
Common Yellowthroat,COYE,Hot Springs National Park,HOSP,26,Summer,E
Common Yellowthroat,COYE,Hot Springs National Park,HOSP,85,Summer,E
Chuck-will's-widow,CWWI,Hot Springs National Park,HOSP,26,Summer,S
Chuck-will's-widow,CWWI,Hot Springs National Park,HOSP,85,Summer,S
Dickcissel,DICK,Hot Springs National Park,HOSP,26,Summer,I
Dickcissel,DICK,Hot Springs National Park,HOSP,85,Summer,S
Downy Woodpecker,DOWO,Hot Springs National Park,HOSP,26,Summer,W
Downy Woodpecker,DOWO,Hot Springs National Park,HOSP,85,Summer,W
Eastern Bluebird,EABL,Hot Springs National Park,HOSP,26,Summer,S
Eastern Bluebird,EABL,Hot Springs National Park,HOSP,85,Summer,S
Eastern Kingbird,EAKI,Hot Springs National Park,HOSP,26,Summer,W
Eastern Kingbird,EAKI,Hot Springs National Park,HOSP,85,Summer,W
Eastern Meadowlark,EAME,Hot Springs National Park,HOSP,26,Summer,W
Eastern Meadowlark,EAME,Hot Springs National Park,HOSP,85,Summer,S
Eastern Phoebe,EAPH,Hot Springs National Park,HOSP,26,Summer,W
Eastern Phoebe,EAPH,Hot Springs National Park,HOSP,85,Summer,W
Eastern Towhee,EATO,Hot Springs National Park,HOSP,26,Summer,E
Eastern Towhee,EATO,Hot Springs National Park,HOSP,85,Summer,E
Eastern Wood-Pewee,EAWP,Hot Springs National Park,HOSP,26,Summer,W
Eastern Wood-Pewee,EAWP,Hot Springs National Park,HOSP,85,Summer,W
European Starling,EUST,Hot Springs National Park,HOSP,26,Summer,E
European Starling,EUST,Hot Springs National Park,HOSP,85,Summer,E
Fish Crow,FICR,Hot Springs National Park,HOSP,26,Summer,S
Fish Crow,FICR,Hot Springs National Park,HOSP,85,Summer,S
Field Sparrow,FISP,Hot Springs National Park,HOSP,26,Summer,W
Field Sparrow,FISP,Hot Springs National Park,HOSP,85,Summer,W
Great Blue Heron,GBHE,Hot Springs National Park,HOSP,26,Summer,S
Great Blue Heron,GBHE,Hot Springs National Park,HOSP,85,Summer,S
Great Crested Flycatcher,GCFL,Hot Springs National Park,HOSP,26,Summer,W
Great Crested Flycatcher,GCFL,Hot Springs National Park,HOSP,85,Summer,W
Golden-fronted Woodpecker,GFWO,Hot Springs National Park,HOSP,26,Summer,C
Gila Woodpecker,GIWO,Hot Springs National Park,HOSP,85,Summer,C
Great Egret,GREG,Hot Springs National Park,HOSP,26,Summer,S
Great Egret,GREG,Hot Springs National Park,HOSP,85,Summer,S
Green Heron,GRHE,Hot Springs National Park,HOSP,26,Summer,S
Green Heron,GRHE,Hot Springs National Park,HOSP,85,Summer,S
Greater Roadrunner,GRRO,Hot Springs National Park,HOSP,85,Summer,I
Grasshopper Sparrow,GRSP,Hot Springs National Park,HOSP,26,Summer,E
Grasshopper Sparrow,GRSP,Hot Springs National Park,HOSP,85,Summer,E
Great-tailed Grackle,GTGR,Hot Springs National Park,HOSP,85,Summer,C
Harris's Hawk,HASH,Hot Springs National Park,HOSP,85,Summer,C
Hairy Woodpecker,HAWO,Hot Springs National Park,HOSP,26,Summer,E
Hairy Woodpecker,HAWO,Hot Springs National Park,HOSP,85,Summer,E
House Finch,HOFI,Hot Springs National Park,HOSP,26,Summer,E
House Finch,HOFI,Hot Springs National Park,HOSP,85,Summer,E
Hooded Oriole,HOOR,Hot Springs National Park,HOSP,26,Summer,C
Hooded Oriole,HOOR,Hot Springs National Park,HOSP,85,Summer,C
Hooded Warbler,HOWA,Hot Springs National Park,HOSP,26,Summer,I
Hooded Warbler,HOWA,Hot Springs National Park,HOSP,85,Summer,S
Indigo Bunting,INBU,Hot Springs National Park,HOSP,26,Summer,S
Indigo Bunting,INBU,Hot Springs National Park,HOSP,85,Summer,S
Inca Dove,INDO,Hot Springs National Park,HOSP,26,Summer,C
Inca Dove,INDO,Hot Springs National Park,HOSP,85,Summer,C
Kentucky Warbler,KEWA,Hot Springs National Park,HOSP,26,Summer,I
Kentucky Warbler,KEWA,Hot Springs National Park,HOSP,85,Summer,S
Killdeer,KILL,Hot Springs National Park,HOSP,26,Summer,E
Killdeer,KILL,Hot Springs National Park,HOSP,85,Summer,E
Lark Sparrow,LASP,Hot Springs National Park,HOSP,85,Summer,I
Little Blue Heron,LBHE,Hot Springs National Park,HOSP,26,Summer,I
Little Blue Heron,LBHE,Hot Springs National Park,HOSP,85,Summer,I
Ladder-backed Woodpecker,LBWO,Hot Springs National Park,HOSP,26,Summer,C
Le Conte's Thrasher,LCTH,Hot Springs National Park,HOSP,85,Summer,C
Lesser Nighthawk,LENI,Hot Springs National Park,HOSP,26,Summer,C
Lesser Nighthawk,LENI,Hot Springs National Park,HOSP,85,Summer,C
Loggerhead Shrike,LOSH,Hot Springs National Park,HOSP,26,Summer,I
Loggerhead Shrike,LOSH,Hot Springs National Park,HOSP,85,Summer,S
Mourning Dove,MODO,Hot Springs National Park,HOSP,26,Summer,S
Mourning Dove,MODO,Hot Springs National Park,HOSP,85,Summer,S
Mottled Duck,MODU,Hot Springs National Park,HOSP,85,Summer,C
Northern Bobwhite,NOBO,Hot Springs National Park,HOSP,26,Summer,W
Northern Bobwhite,NOBO,Hot Springs National Park,HOSP,85,Summer,W
Northern Cardinal,NOCA,Hot Springs National Park,HOSP,26,Summer,I
Northern Cardinal,NOCA,Hot Springs National Park,HOSP,85,Summer,S
Northern Mockingbird,NOMO,Hot Springs National Park,HOSP,26,Summer,W
Northern Mockingbird,NOMO,Hot Springs National Park,HOSP,85,Summer,S
Northern Parula,NOPA,Hot Springs National Park,HOSP,26,Summer,S
Northern Parula,NOPA,Hot Springs National Park,HOSP,85,Summer,S
Northern Rough-winged Swallow,NRWS,Hot Springs National Park,HOSP,26,Summer,S
Northern Rough-winged Swallow,NRWS,Hot Springs National Park,HOSP,85,Summer,W
Orchard Oriole,OROR,Hot Springs National Park,HOSP,26,Summer,S
Orchard Oriole,OROR,Hot Springs National Park,HOSP,85,Summer,S
Painted Bunting,PABU,Hot Springs National Park,HOSP,26,Summer,I
Painted Bunting,PABU,Hot Springs National Park,HOSP,85,Summer,I
Pine Warbler,PIWA,Hot Springs National Park,HOSP,26,Summer,I
Pine Warbler,PIWA,Hot Springs National Park,HOSP,85,Summer,S
Pileated Woodpecker,PIWO,Hot Springs National Park,HOSP,26,Summer,I
Pileated Woodpecker,PIWO,Hot Springs National Park,HOSP,85,Summer,S
Prairie Warbler,PRAW,Hot Springs National Park,HOSP,26,Summer,S
Prairie Warbler,PRAW,Hot Springs National Park,HOSP,85,Summer,S
Prothonotary Warbler,PROW,Hot Springs National Park,HOSP,26,Summer,S
Prothonotary Warbler,PROW,Hot Springs National Park,HOSP,85,Summer,I
Purple Martin,PUMA,Hot Springs National Park,HOSP,26,Summer,S
Purple Martin,PUMA,Hot Springs National Park,HOSP,85,Summer,S
Red-bellied Woodpecker,RBWO,Hot Springs National Park,HOSP,26,Summer,S
Red-bellied Woodpecker,RBWO,Hot Springs National Park,HOSP,85,Summer,S
Red-eyed Vireo,REVI,Hot Springs National Park,HOSP,26,Summer,S
Red-eyed Vireo,REVI,Hot Springs National Park,HOSP,85,Summer,S
Red-headed Woodpecker,RHWO,Hot Springs National Park,HOSP,26,Summer,S
Red-headed Woodpecker,RHWO,Hot Springs National Park,HOSP,85,Summer,S
Rock Pigeon,ROPI,Hot Springs National Park,HOSP,26,Summer,E
Rock Pigeon,ROPI,Hot Springs National Park,HOSP,85,Summer,E
Red-shouldered Hawk,RSHA,Hot Springs National Park,HOSP,26,Summer,I
Red-shouldered Hawk,RSHA,Hot Springs National Park,HOSP,85,Summer,S
Red-tailed Hawk,RTHA,Hot Springs National Park,HOSP,26,Summer,S
Red-tailed Hawk,RTHA,Hot Springs National Park,HOSP,85,Summer,S
Ruby-throated Hummingbird,RTHU,Hot Springs National Park,HOSP,26,Summer,S
Ruby-throated Hummingbird,RTHU,Hot Springs National Park,HOSP,85,Summer,S
Red-winged Blackbird,RWBL,Hot Springs National Park,HOSP,26,Summer,E
Red-winged Blackbird,RWBL,Hot Springs National Park,HOSP,85,Summer,E
Scarlet Tanager,SCTA,Hot Springs National Park,HOSP,26,Summer,E
Scarlet Tanager,SCTA,Hot Springs National Park,HOSP,85,Summer,E
Scissor-tailed Flycatcher,STFL,Hot Springs National Park,HOSP,26,Summer,S
Scissor-tailed Flycatcher,STFL,Hot Springs National Park,HOSP,85,Summer,I
Summer Tanager,SUTA,Hot Springs National Park,HOSP,26,Summer,S
Summer Tanager,SUTA,Hot Springs National Park,HOSP,85,Summer,W
Swainson's Warbler,SWWA,Hot Springs National Park,HOSP,26,Summer,I
Swainson's Warbler,SWWA,Hot Springs National Park,HOSP,85,Summer,I
Tricolored Heron,TRHE,Hot Springs National Park,HOSP,85,Summer,C
Tufted Titmouse,TUTI,Hot Springs National Park,HOSP,26,Summer,S
Tufted Titmouse,TUTI,Hot Springs National Park,HOSP,85,Summer,W
Vermilion Flycatcher,VEFL,Hot Springs National Park,HOSP,85,Summer,C
White-breasted Nuthatch,WBNU,Hot Springs National Park,HOSP,26,Summer,E
White-breasted Nuthatch,WBNU,Hot Springs National Park,HOSP,85,Summer,E
Western Kingbird,WEKI,Hot Springs National Park,HOSP,85,Summer,C
White-eyed Vireo,WEVI,Hot Springs National Park,HOSP,26,Summer,I
White-eyed Vireo,WEVI,Hot Springs National Park,HOSP,85,Summer,I
Worm-eating Warbler,WEWA,Hot Springs National Park,HOSP,26,Summer,S
Worm-eating Warbler,WEWA,Hot Springs National Park,HOSP,85,Summer,S
White Ibis,WHIB,Hot Springs National Park,HOSP,26,Summer,C
White Ibis,WHIB,Hot Springs National Park,HOSP,85,Summer,C
Wood Stork,WOST,Hot Springs National Park,HOSP,26,Summer,C
Wood Stork,WOST,Hot Springs National Park,HOSP,85,Summer,C
Wood Thrush,WOTH,Hot Springs National Park,HOSP,26,Summer,W
Wood Thrush,WOTH,Hot Springs National Park,HOSP,85,Summer,W
White-winged Dove,WWDO,Hot Springs National Park,HOSP,85,Summer,C
Yellow-breasted Chat,YBCH,Hot Springs National Park,HOSP,26,Summer,S
Yellow-breasted Chat,YBCH,Hot Springs National Park,HOSP,85,Summer,S
Yellow-billed Cuckoo,YBCU,Hot Springs National Park,HOSP,26,Summer,I
Yellow-billed Cuckoo,YBCU,Hot Springs National Park,HOSP,85,Summer,I
Yellow-crowned Night-Heron,YCNH,Hot Springs National Park,HOSP,26,Summer,S
Yellow-crowned Night-Heron,YCNH,Hot Springs National Park,HOSP,85,Summer,I
Yellow-throated Vireo,YTVI,Hot Springs National Park,HOSP,26,Summer,S
Yellow-throated Vireo,YTVI,Hot Springs National Park,HOSP,85,Summer,S
Yellow-throated Warbler,YTWA,Hot Springs National Park,HOSP,26,Summer,S
Yellow-throated Warbler,YTWA,Hot Springs National Park,HOSP,85,Summer,S
Alder Flycatcher,ALFL,Isle Royale National Park,ISRO,26,Summer,S
Alder Flycatcher,ALFL,Isle Royale National Park,ISRO,85,Summer,W
American Bittern,AMBI,Isle Royale National Park,ISRO,26,Summer,S
American Bittern,AMBI,Isle Royale National Park,ISRO,85,Summer,W
American Crow,AMCR,Isle Royale National Park,ISRO,26,Summer,I
American Crow,AMCR,Isle Royale National Park,ISRO,85,Summer,I
American Goldfinch,AMGO,Isle Royale National Park,ISRO,26,Summer,I
American Goldfinch,AMGO,Isle Royale National Park,ISRO,85,Summer,I
American Redstart,AMRE,Isle Royale National Park,ISRO,26,Summer,S
American Redstart,AMRE,Isle Royale National Park,ISRO,85,Summer,W
American Robin,AMRO,Isle Royale National Park,ISRO,26,Summer,W
American Robin,AMRO,Isle Royale National Park,ISRO,85,Summer,W
American Wigeon,AMWI,Isle Royale National Park,ISRO,26,Summer,E
American Wigeon,AMWI,Isle Royale National Park,ISRO,85,Summer,E
Baltimore Oriole,BAOR,Isle Royale National Park,ISRO,26,Summer,I
Baltimore Oriole,BAOR,Isle Royale National Park,ISRO,85,Summer,I
Barn Swallow,BARS,Isle Royale National Park,ISRO,26,Summer,I
Barn Swallow,BARS,Isle Royale National Park,ISRO,85,Summer,I
Black-and-white Warbler,BAWW,Isle Royale National Park,ISRO,26,Summer,S
Black-and-white Warbler,BAWW,Isle Royale National Park,ISRO,85,Summer,W
Black-billed Cuckoo,BBCU,Isle Royale National Park,ISRO,26,Summer,I
Black-billed Cuckoo,BBCU,Isle Royale National Park,ISRO,85,Summer,I
Black-billed Magpie,BBMA,Isle Royale National Park,ISRO,26,Summer,E
Black-billed Magpie,BBMA,Isle Royale National Park,ISRO,85,Summer,E
Bay-breasted Warbler,BBWA,Isle Royale National Park,ISRO,26,Summer,S
Bay-breasted Warbler,BBWA,Isle Royale National Park,ISRO,85,Summer,E
Black-capped Chickadee,BCCH,Isle Royale National Park,ISRO,26,Summer,I
Black-capped Chickadee,BCCH,Isle Royale National Park,ISRO,85,Summer,I
Belted Kingfisher,BEKI,Isle Royale National Park,ISRO,26,Summer,I
Belted Kingfisher,BEKI,Isle Royale National Park,ISRO,85,Summer,S
Brown-headed Cowbird,BHCO,Isle Royale National Park,ISRO,85,Summer,I
Blackburnian Warbler,BLBW,Isle Royale National Park,ISRO,26,Summer,S
Blackburnian Warbler,BLBW,Isle Royale National Park,ISRO,85,Summer,E
Blue Jay,BLJA,Isle Royale National Park,ISRO,26,Summer,I
Blue Jay,BLJA,Isle Royale National Park,ISRO,85,Summer,I
Black Tern,BLTE,Isle Royale National Park,ISRO,26,Summer,E
Black Tern,BLTE,Isle Royale National Park,ISRO,85,Summer,E
Bobolink,BOBO,Isle Royale National Park,ISRO,26,Summer,I
Bobolink,BOBO,Isle Royale National Park,ISRO,85,Summer,I
Boreal Chickadee,BOCH,Isle Royale National Park,ISRO,26,Summer,E
Boreal Chickadee,BOCH,Isle Royale National Park,ISRO,85,Summer,E
Brewer's Blackbird,BRBL,Isle Royale National Park,ISRO,26,Summer,E
Brewer's Blackbird,BRBL,Isle Royale National Park,ISRO,85,Summer,E
Brown Thrasher,BRTH,Isle Royale National Park,ISRO,26,Summer,I
Brown Thrasher,BRTH,Isle Royale National Park,ISRO,85,Summer,I
Black-throated Green Warbler,BTNW,Isle Royale National Park,ISRO,26,Summer,S
Black-throated Green Warbler,BTNW,Isle Royale National Park,ISRO,85,Summer,E
Blue-winged Teal,BWTE,Isle Royale National Park,ISRO,26,Summer,W
Blue-winged Teal,BWTE,Isle Royale National Park,ISRO,85,Summer,W
Blue-winged Warbler,BWWA,Isle Royale National Park,ISRO,85,Summer,C
Canada Warbler,CAWA,Isle Royale National Park,ISRO,26,Summer,W
Canada Warbler,CAWA,Isle Royale National Park,ISRO,85,Summer,E
Clay-colored Sparrow,CCSP,Isle Royale National Park,ISRO,26,Summer,E
Clay-colored Sparrow,CCSP,Isle Royale National Park,ISRO,85,Summer,E
Cedar Waxwing,CEDW,Isle Royale National Park,ISRO,26,Summer,I
Cedar Waxwing,CEDW,Isle Royale National Park,ISRO,85,Summer,I
Chipping Sparrow,CHSP,Isle Royale National Park,ISRO,26,Summer,I
Chipping Sparrow,CHSP,Isle Royale National Park,ISRO,85,Summer,I
Chimney Swift,CHSW,Isle Royale National Park,ISRO,26,Summer,I
Chimney Swift,CHSW,Isle Royale National Park,ISRO,85,Summer,I
Cliff Swallow,CLSW,Isle Royale National Park,ISRO,26,Summer,S
Cliff Swallow,CLSW,Isle Royale National Park,ISRO,85,Summer,I
Cape May Warbler,CMWA,Isle Royale National Park,ISRO,26,Summer,S
Cape May Warbler,CMWA,Isle Royale National Park,ISRO,85,Summer,E
Common Grackle,COGR,Isle Royale National Park,ISRO,26,Summer,I
Common Grackle,COGR,Isle Royale National Park,ISRO,85,Summer,I
Common Loon,COLO,Isle Royale National Park,ISRO,26,Summer,W
Common Loon,COLO,Isle Royale National Park,ISRO,85,Summer,E
Common Raven,CORA,Isle Royale National Park,ISRO,26,Summer,W
Common Raven,CORA,Isle Royale National Park,ISRO,85,Summer,E
Common Yellowthroat,COYE,Isle Royale National Park,ISRO,26,Summer,I
Common Yellowthroat,COYE,Isle Royale National Park,ISRO,85,Summer,S
Chestnut-sided Warbler,CSWA,Isle Royale National Park,ISRO,26,Summer,W
Chestnut-sided Warbler,CSWA,Isle Royale National Park,ISRO,85,Summer,W
Downy Woodpecker,DOWO,Isle Royale National Park,ISRO,26,Summer,I
Downy Woodpecker,DOWO,Isle Royale National Park,ISRO,85,Summer,I
Eastern Bluebird,EABL,Isle Royale National Park,ISRO,85,Summer,I
Eastern Kingbird,EAKI,Isle Royale National Park,ISRO,26,Summer,I
Eastern Kingbird,EAKI,Isle Royale National Park,ISRO,85,Summer,I
Eastern Meadowlark,EAME,Isle Royale National Park,ISRO,26,Summer,I
Eastern Meadowlark,EAME,Isle Royale National Park,ISRO,85,Summer,I
Eastern Phoebe,EAPH,Isle Royale National Park,ISRO,26,Summer,I
Eastern Phoebe,EAPH,Isle Royale National Park,ISRO,85,Summer,I
Eastern Towhee,EATO,Isle Royale National Park,ISRO,85,Summer,I
Eastern Wood-Pewee,EAWP,Isle Royale National Park,ISRO,26,Summer,I
Eastern Wood-Pewee,EAWP,Isle Royale National Park,ISRO,85,Summer,I
European Starling,EUST,Isle Royale National Park,ISRO,26,Summer,I
European Starling,EUST,Isle Royale National Park,ISRO,85,Summer,I
Evening Grosbeak,EVGR,Isle Royale National Park,ISRO,26,Summer,S
Evening Grosbeak,EVGR,Isle Royale National Park,ISRO,85,Summer,S
Field Sparrow,FISP,Isle Royale National Park,ISRO,26,Summer,I
Field Sparrow,FISP,Isle Royale National Park,ISRO,85,Summer,I
Gadwall,GADW,Isle Royale National Park,ISRO,26,Summer,E
Gadwall,GADW,Isle Royale National Park,ISRO,85,Summer,E
Great Blue Heron,GBHE,Isle Royale National Park,ISRO,26,Summer,I
Great Blue Heron,GBHE,Isle Royale National Park,ISRO,85,Summer,I
Great Crested Flycatcher,GCFL,Isle Royale National Park,ISRO,26,Summer,I
Great Crested Flycatcher,GCFL,Isle Royale National Park,ISRO,85,Summer,I
Golden-crowned Kinglet,GCKI,Isle Royale National Park,ISRO,26,Summer,S
Golden-crowned Kinglet,GCKI,Isle Royale National Park,ISRO,85,Summer,E
Gray Jay,GRAJ,Isle Royale National Park,ISRO,26,Summer,E
Gray Jay,GRAJ,Isle Royale National Park,ISRO,85,Summer,E
Gray Catbird,GRCA,Isle Royale National Park,ISRO,26,Summer,I
Gray Catbird,GRCA,Isle Royale National Park,ISRO,85,Summer,I
Green Heron,GRHE,Isle Royale National Park,ISRO,85,Summer,C
Grasshopper Sparrow,GRSP,Isle Royale National Park,ISRO,85,Summer,C
Golden-winged Warbler,GWWA,Isle Royale National Park,ISRO,26,Summer,W
Golden-winged Warbler,GWWA,Isle Royale National Park,ISRO,85,Summer,W
Hairy Woodpecker,HAWO,Isle Royale National Park,ISRO,26,Summer,S
Hairy Woodpecker,HAWO,Isle Royale National Park,ISRO,85,Summer,S
Herring Gull,HERG,Isle Royale National Park,ISRO,26,Summer,S
Herring Gull,HERG,Isle Royale National Park,ISRO,85,Summer,S
Hermit Thrush,HETH,Isle Royale National Park,ISRO,26,Summer,S
Hermit Thrush,HETH,Isle Royale National Park,ISRO,85,Summer,E
House Finch,HOFI,Isle Royale National Park,ISRO,85,Summer,C
Hooded Warbler,HOWA,Isle Royale National Park,ISRO,85,Summer,C
House Wren,HOWR,Isle Royale National Park,ISRO,26,Summer,S
House Wren,HOWR,Isle Royale National Park,ISRO,85,Summer,I
Indigo Bunting,INBU,Isle Royale National Park,ISRO,26,Summer,I
Indigo Bunting,INBU,Isle Royale National Park,ISRO,85,Summer,I
Killdeer,KILL,Isle Royale National Park,ISRO,26,Summer,I
Killdeer,KILL,Isle Royale National Park,ISRO,85,Summer,I
Le Conte's Sparrow,LCSP,Isle Royale National Park,ISRO,26,Summer,E
Le Conte's Sparrow,LCSP,Isle Royale National Park,ISRO,85,Summer,E
Least Flycatcher,LEFL,Isle Royale National Park,ISRO,26,Summer,W
Least Flycatcher,LEFL,Isle Royale National Park,ISRO,85,Summer,W
Lincoln's Sparrow,LISP,Isle Royale National Park,ISRO,26,Summer,E
Lincoln's Sparrow,LISP,Isle Royale National Park,ISRO,85,Summer,E
Mallard,MALL,Isle Royale National Park,ISRO,26,Summer,W
Mallard,MALL,Isle Royale National Park,ISRO,85,Summer,S
Magnolia Warbler,MAWA,Isle Royale National Park,ISRO,26,Summer,S
Magnolia Warbler,MAWA,Isle Royale National Park,ISRO,85,Summer,E
Mourning Dove,MODO,Isle Royale National Park,ISRO,26,Summer,I
Mourning Dove,MODO,Isle Royale National Park,ISRO,85,Summer,I
Mourning Warbler,MOWA,Isle Royale National Park,ISRO,26,Summer,W
Mourning Warbler,MOWA,Isle Royale National Park,ISRO,85,Summer,W
Nashville Warbler,NAWA,Isle Royale National Park,ISRO,26,Summer,S
Nashville Warbler,NAWA,Isle Royale National Park,ISRO,85,Summer,W
Northern Cardinal,NOCA,Isle Royale National Park,ISRO,85,Summer,I
Northern Harrier,NOHA,Isle Royale National Park,ISRO,26,Summer,W
Northern Harrier,NOHA,Isle Royale National Park,ISRO,85,Summer,W
Northern Parula,NOPA,Isle Royale National Park,ISRO,26,Summer,S
Northern Parula,NOPA,Isle Royale National Park,ISRO,85,Summer,E
Northern Waterthrush,NOWA,Isle Royale National Park,ISRO,26,Summer,I
Northern Waterthrush,NOWA,Isle Royale National Park,ISRO,85,Summer,S
Northern Rough-winged Swallow,NRWS,Isle Royale National Park,ISRO,85,Summer,I
Northern Shoveler,NSHO,Isle Royale National Park,ISRO,26,Summer,E
Northern Shoveler,NSHO,Isle Royale National Park,ISRO,85,Summer,E
Olive-sided Flycatcher,OSFL,Isle Royale National Park,ISRO,26,Summer,E
Olive-sided Flycatcher,OSFL,Isle Royale National Park,ISRO,85,Summer,E
Ovenbird,OVEN,Isle Royale National Park,ISRO,26,Summer,I
Ovenbird,OVEN,Isle Royale National Park,ISRO,85,Summer,S
Palm Warbler,PAWA,Isle Royale National Park,ISRO,26,Summer,W
Palm Warbler,PAWA,Isle Royale National Park,ISRO,85,Summer,E
Philadelphia Vireo,PHVI,Isle Royale National Park,ISRO,26,Summer,S
Philadelphia Vireo,PHVI,Isle Royale National Park,ISRO,85,Summer,E
Pine Siskin,PISI,Isle Royale National Park,ISRO,26,Summer,E
Pine Siskin,PISI,Isle Royale National Park,ISRO,85,Summer,E
Pine Warbler,PIWA,Isle Royale National Park,ISRO,26,Summer,I
Pileated Woodpecker,PIWO,Isle Royale National Park,ISRO,26,Summer,S
Pileated Woodpecker,PIWO,Isle Royale National Park,ISRO,85,Summer,S
Purple Finch,PUFI,Isle Royale National Park,ISRO,26,Summer,I
Purple Finch,PUFI,Isle Royale National Park,ISRO,85,Summer,S
Rose-breasted Grosbeak,RBGR,Isle Royale National Park,ISRO,26,Summer,I
Rose-breasted Grosbeak,RBGR,Isle Royale National Park,ISRO,85,Summer,I
Ring-billed Gull,RBGU,Isle Royale National Park,ISRO,26,Summer,S
Ring-billed Gull,RBGU,Isle Royale National Park,ISRO,85,Summer,S
Red-breasted Nuthatch,RBNU,Isle Royale National Park,ISRO,26,Summer,W
Red-breasted Nuthatch,RBNU,Isle Royale National Park,ISRO,85,Summer,E
Ruby-crowned Kinglet,RCKI,Isle Royale National Park,ISRO,26,Summer,E
Ruby-crowned Kinglet,RCKI,Isle Royale National Park,ISRO,85,Summer,E
Redhead,REDH,Isle Royale National Park,ISRO,26,Summer,E
Redhead,REDH,Isle Royale National Park,ISRO,85,Summer,E
Red-eyed Vireo,REVI,Isle Royale National Park,ISRO,26,Summer,I
Red-eyed Vireo,REVI,Isle Royale National Park,ISRO,85,Summer,S
Red-headed Woodpecker,RHWO,Isle Royale National Park,ISRO,85,Summer,I
Ring-necked Pheasant,RNEP,Isle Royale National Park,ISRO,26,Summer,C
Ring-necked Pheasant,RNEP,Isle Royale National Park,ISRO,85,Summer,C
Red-necked Grebe,RNGR,Isle Royale National Park,ISRO,26,Summer,E
Red-necked Grebe,RNGR,Isle Royale National Park,ISRO,85,Summer,E
Rock Pigeon,ROPI,Isle Royale National Park,ISRO,26,Summer,I
Rock Pigeon,ROPI,Isle Royale National Park,ISRO,85,Summer,I
Red-tailed Hawk,RTHA,Isle Royale National Park,ISRO,26,Summer,E
Red-tailed Hawk,RTHA,Isle Royale National Park,ISRO,85,Summer,S
Ruby-throated Hummingbird,RTHU,Isle Royale National Park,ISRO,26,Summer,I
Ruby-throated Hummingbird,RTHU,Isle Royale National Park,ISRO,85,Summer,I
Ruddy Duck,RUDU,Isle Royale National Park,ISRO,26,Summer,E
Ruddy Duck,RUDU,Isle Royale National Park,ISRO,85,Summer,E
Red-winged Blackbird,RWBL,Isle Royale National Park,ISRO,26,Summer,I
Red-winged Blackbird,RWBL,Isle Royale National Park,ISRO,85,Summer,I
Savannah Sparrow,SAVS,Isle Royale National Park,ISRO,26,Summer,I
Savannah Sparrow,SAVS,Isle Royale National Park,ISRO,85,Summer,I
Scarlet Tanager,SCTA,Isle Royale National Park,ISRO,26,Summer,I
Scarlet Tanager,SCTA,Isle Royale National Park,ISRO,85,Summer,I
Sedge Wren,SEWR,Isle Royale National Park,ISRO,26,Summer,E
Sedge Wren,SEWR,Isle Royale National Park,ISRO,85,Summer,E
Song Sparrow,SOSP,Isle Royale National Park,ISRO,26,Summer,I
Song Sparrow,SOSP,Isle Royale National Park,ISRO,85,Summer,I
Sharp-tailed Grouse,STGR,Isle Royale National Park,ISRO,26,Summer,E
Sharp-tailed Grouse,STGR,Isle Royale National Park,ISRO,85,Summer,E
Swamp Sparrow,SWSP,Isle Royale National Park,ISRO,26,Summer,W
Swamp Sparrow,SWSP,Isle Royale National Park,ISRO,85,Summer,W
Swainson's Thrush,SWTH,Isle Royale National Park,ISRO,26,Summer,W
Swainson's Thrush,SWTH,Isle Royale National Park,ISRO,85,Summer,E
Tennessee Warbler,TEWA,Isle Royale National Park,ISRO,26,Summer,E
